Year,wittgenstein,heidegger,postmodernism,deconstruction,heisenberg,uncertainty,knowledge,belief,justification,truth,evidence,rationality,skepticism,epistemology,coherentism,foundationalism,reliabilism,internalism,externalism,virtue epistemology,testimony,disagreement,epistemic injustice,social epistemology,ignorance,epistemic agency,epistemic oppression,Gettier,Quine,Goldman,Alvin Plantinga,Laurence BonJour,Linda Zagzebski,Miranda Fricker
2000,2,1,3,1,0,0,13,1,3,1,1,0,2,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,0,0,0,10,4,3,6,4,2,1,21,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0
2002,1,1,1,1,0,0,8,3,1,9,4,0,0,20,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2003,1,2,0,1,0,0,18,6,2,5,5,1,1,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0
2004,1,2,3,1,0,1,18,5,2,13,0,7,0,32,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2005,0,1,0,0,0,2,16,3,2,5,3,3,0,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,2,0,1,0,1,0,17,2,1,3,1,3,1,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2007,2,0,0,2,0,0,17,3,3,2,3,4,3,38,0,1,0,1,2,1,2,1,0,3,0,0,0,0,3,0,1,0,0,0
2008,1,1,2,0,0,2,27,6,2,10,4,4,2,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2009,1,2,0,1,0,2,18,5,3,7,5,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2010,0,0,1,0,0,2,28,7,1,6,5,3,0,44,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0
2011,3,5,1,1,0,1,23,6,3,10,9,2,2,45,0,1,0,1,2,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0
2012,0,1,0,0,0,1,29,6,2,8,2,4,2,56,0,2,0,1,0,1,0,3,0,0,0,0,0,0,4,1,0,0,0,1
2013,2,1,0,1,0,0,35,6,6,11,2,2,1,65,0,0,1,0,0,1,1,2,0,3,1,0,0,0,2,2,0,0,1,0
2014,2,3,2,0,0,6,39,10,8,15,9,6,2,97,0,0,1,2,2,1,0,2,0,4,2,0,0,1,2,0,0,0,0,0
2015,0,0,1,0,0,1,38,8,1,15,10,4,0,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0
2016,0,3,1,1,0,3,54,10,6,12,9,6,2,89,0,1,0,1,0,1,3,1,0,4,0,0,0,0,0,1,0,0,0,0
2017,0,4,0,1,0,0,40,9,4,12,4,6,2,97,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
2018,4,2,1,2,0,0,57,5,5,11,5,5,4,105,0,0,0,1,0,2,2,3,0,3,0,0,0,0,1,0,0,0,0,0
2019,2,3,0,0,0,3,79,16,4,23,11,8,2,153,1,0,0,1,1,2,1,2,2,9,2,0,0,2,1,1,0,0,0,0
2020,3,2,2,2,0,3,82,16,11,20,12,7,1,159,0,2,0,0,0,0,2,3,1,14,4,0,0,0,3,1,0,0,0,1
2021,2,3,2,1,0,5,80,8,9,25,11,5,1,153,0,1,0,1,1,1,0,2,0,6,1,0,0,1,1,0,0,0,0,0
2022,0,5,4,1,1,0,81,5,4,20,7,9,2,152,0,0,1,0,0,1,5,1,0,12,4,0,0,1,0,1,0,0,0,0
2023,2,0,3,0,0,1,76,9,7,19,6,8,2,134,0,0,0,0,0,1,2,0,2,4,2,0,0,0,3,0,0,0,0,0
2024,0,1,0,1,0,2,107,11,5,22,10,7,4,180,0,1,1,1,1,1,0,1,1,13,1,1,0,1,2,1,0,0,0,0
2025,1,0,2,0,0,1,31,2,0,4,2,1,2,62,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,0,0
